body_text,id,incoming,ticket_id,user_id,created_at,,,,,,,,,,,,,,
Cupidatat consectetur magna ex ipsum ut laborum dolor ad do quis.,43022520334,FALSE,2,43012945552,2018-10-08 08:29:18,,,,,,,,,,,,,,
Detected intent: nutrition (confidence: 0.9767500035762787) Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.,43022520336,TRUE,2,43012945551,2018-10-08 08:29:22,,,,,,,,,,,,,,
Detected intent: pain (confidence: 0.9767500035762787) Ex velit ea eu pariatur. Non commodo cillum irure consectetur ea occaecat culpa est proident.,43022524893,TRUE,8,43012946687,2018-10-08 08:42:01,,,,,,,,,,,,,,
Detected intent: pregnancy_condition (confidence: 0.87867500035762787) Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in,43022524894,TRUE,8,43012946687,2018-10-08 08:42:01,,,,,,,,,,,,,,
Detected intent: pain (confidence: 0.87867500035762787) proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.,43022545487,FALSE,8,43012947004,2018-10-08 10:13:22,,,,,,,,,,,,,,
Detected intent: pain (confidence: 0.87867500035762787) Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.,43022915626,TRUE,8,43012946686,2018-10-09 04:36:07,,,,,,,,,,,,,,
Detected intent: headache (confidence: 0.76780035762787) Cupidatat consectetur magna ex ipsum ut laborum dolor ad do quis.,43022962852,TRUE,8,43012946687,2018-10-09 08:42:26,,,,,,,,,,,,,,
Detected intent: survey_response (confidence: 0.340000087872787) Officia consequat sunt aute laboris do voluptate consequat ut enim cillum excepteur.,43022525662,FALSE,9,43012945549,2018-10-08 08:58:19,,,,,,,,,,,,,,
Detected intent: baby_condition (confidence: 0.340005435464587) Ex velit ea eu pariatur. Non commodo cillum irure consectetur ea occaecat culpa est proident.,43022725673,TRUE,9,43012946687,2018-10-08 19:06:13,,,,,,,,,,,,,,
Detected intent: qsurvey_positive (confidence: 0.76780035762787) Reprehenderit elit labore officia non pariatur dolor et officia nulla velit. Excepteur in,43022968353,TRUE,9,43012946688,2018-10-09 09:12:22,,,,,,,,,,,,,,
Detected intent: ok_thanks (confidence: 0.76780035762787) proident enim eiusmod mollit sit laborum commodo consequat cupidatat nostrud esse.,43022968356,TRUE,9,43012946687,2018-10-09 09:12:24,,,,,,,,,,,,,,
Detected intent: baby_general (confidence: 0.340000087872787) Sint labore nisi aliquip quis dolore ad do ullamco ea minim sint.,43022968357,TRUE,9,43012946687,2018-10-09 09:12:28,,,,,,,,,,,,,,
"Detected intent: qsurvey_positive (confidence: 0.87867500035762787) And had in was fabled seraphs nor it beyond go whom, will peace memory the but the heartless the.",43022968360,TRUE,9,43012946688,2018-10-09 09:12:35,,,,,,,,,,,,,,
